,order_id,booker_id,product_type,sales_channel,ticket_count,pricing_currency,pricing_average_ticket_price,pricing_total_gross,customer_country,customer_region,customer_city,customer_postal_code,performance_show_name,performance_starts_at,purchase_purchased_at,purchase_lead_time_days,purchase_weeks_prior_to_performance
0,977598,13247,Show Only,Phone Order,2,USD,74.09,148.18,United States,Minnesota,Bloomington,55438,Biopic Title 2,2023-07-18 20:00:00,2020-03-10 17:47:00,1225,175
1,1006083,390227,Dinner & Show,Web Order,2,USD,105.57,211.14,United States,Minnesota,Wabasha,55981,Biopic Title 2,2023-12-16 13:00:00,2021-08-10 10:57:00,858,123
2,1033886,670850,Dinner & Show,Phone Order,4,USD,69.37,277.48,United States,Minnesota,Plato,55370,Biopic Title 2,2023-12-22 20:00:00,2022-01-08 10:17:00,713,102
3,1034341,551777,Dinner & Show,Phone Order,4,USD,42.95,171.8,United States,Minnesota,Stillwater,55082,Biopic Title 2,2023-06-29 20:00:00,2022-01-12 17:25:00,533,76
4,1060696,333791,Dinner & Show,Group Order,6,USD,65.97,395.83,United States,South Dakota,Milbank,57252,Biopic Title 2,2023-06-21 13:00:00,2022-07-19 09:39:00,337,48
5,1060696,333791,Dinner & Show,Group Order,4,USD,65.97,263.88,United States,South Dakota,Milbank,57252,Biopic Title 2,2023-06-21 13:00:00,2022-07-19 09:39:00,337,48
6,1063357,591171,Dinner & Show,Phone Order,2,USD,67.28,134.56,United States,Minnesota,Savage,55378,Biopic Title 2,2023-06-30 20:00:00,2022-08-02 13:58:00,332,47
7,1064235,739343,Dinner & Show,Phone Order,2,USD,62.28,124.56,United States,Minnesota,Cologne,55322,Biopic Title 2,2023-07-27 20:00:00,2022-08-09 12:35:00,352,50
8,1064411,683877,Dinner & Show,Group Order,4,USD,68.29,273.16,United States,Minnesota,Minneapolis,55410,Biopic Title 2,2023-08-02 13:00:00,2022-08-10 12:45:00,357,51
9,1065394,591488,Dinner & Show,Web Order,4,USD,110.95,443.8,United States,Minnesota,Mankato,56001,Biopic Title 2,2023-08-11 20:00:00,2022-08-17 18:45:00,359,51
10,1068818,742630,Dinner & Show,Group Order,6,USD,59.56,357.34,United States,Minnesota,Little Canada,55117,Biopic Title 2,2023-08-23 13:00:00,2022-09-08 13:05:00,349,50
11,1068818,742630,Dinner & Show,Group Order,4,USD,59.56,238.23,United States,Minnesota,Little Canada,55117,Biopic Title 2,2023-08-23 13:00:00,2022-09-08 13:05:00,349,50
12,1068818,742630,Dinner & Show,Group Order,1,USD,59.56,59.56,United States,Minnesota,Little Canada,55117,Biopic Title 2,2023-08-23 13:00:00,2022-09-08 13:05:00,349,50
13,1070409,707316,Dinner & Show,Web Order,4,USD,110.95,443.8,United States,Minnesota,Coon Rapids,55448,Biopic Title 2,2023-07-14 20:00:00,2022-09-18 06:31:00,299,43
14,1070616,377821,Dinner & Show,Phone Order,2,USD,75.34,150.68,United States,Minnesota,Winsted,55395,Biopic Title 2,2023-09-21 20:00:00,2022-09-19 15:46:00,367,52
15,1070682,591111,Dinner & Show,Phone Order,3,USD,88.27,264.8,United States,Minnesota,New Brighton,55112,Biopic Title 2,2023-09-20 13:00:00,2022-09-20 10:42:00,365,52
16,1071102,812935,Dinner & Show,Phone Order,4,USD,105.94,423.76,United States,Minnesota,Andover,55304,Biopic Title 2,2023-12-28 20:00:00,2022-09-22 20:55:00,462,66
17,1071589,121378,Dinner & Show,Group Order,6,USD,66.22,397.33,United States,Minnesota,Maple Grove,55369,Biopic Title 2,2023-07-19 13:00:00,2022-09-26 13:38:00,296,42
